"filename", "language", "JSON", "XML", "ASP.NET Razor", "C#", "PostCSS", "JavaScript", "comment", "blank", "total"
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260407182512_InitialCreate.Designer.cs", "C#", 0, 0, 0, 238, 0, 0, 2, 81, 321
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260407182512_InitialCreate.cs", "C#", 0, 0, 0, 227, 0, 0, 3, 26, 256
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260408173913_AddTherapistProfile.Designer.cs", "C#", 0, 0, 0, 242, 0, 0, 2, 83, 327
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260408173913_AddTherapistProfile.cs", "C#", 0, 0, 0, 33, 0, 0, 3, 6, 42
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260409104931_AddChild.Designer.cs", "C#", 0, 0, 0, 266, 0, 0, 2, 93, 361
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260409104931_AddChild.cs", "C#", 0, 0, 0, 35, 0, 0, 3, 4, 42
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260410202221_AddLecturesTable.Designer.cs", "C#", 0, 0, 0, 287, 0, 0, 2, 101, 390
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260410202221_AddLecturesTable.cs", "C#", 0, 0, 0, 32, 0, 0, 3, 4, 39
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260415113340_AddLectureContent.Designer.cs", "C#", 0, 0, 0, 292, 0, 0, 2, 103, 397
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260415113340_AddLectureContent.cs", "C#", 0, 0, 0, 31, 0, 0, 3, 6, 40
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260505153733_AddTherapistProfileFields.Designer.cs", "C#", 0, 0, 0, 305, 0, 0, 2, 108, 415
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260505153733_AddTherapistProfileFields.cs", "C#", 0, 0, 0, 58, 0, 0, 3, 12, 73
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260511145406_AddAddressToTherapist.Designer.cs", "C#", 0, 0, 0, 311, 0, 0, 2, 111, 424
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260511145406_AddAddressToTherapist.cs", "C#", 0, 0, 0, 38, 0, 0, 3, 8, 49
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260511151907_AddCertificateToTherapist.Designer.cs", "C#", 0, 0, 0, 313, 0, 0, 2, 112, 427
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260511151907_AddCertificateToTherapist.cs", "C#", 0, 0, 0, 22, 0, 0, 3, 4, 29
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260511155206_AddTherapistReviews.Designer.cs", "C#", 0, 0, 0, 334, 0, 0, 2, 121, 457
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260511155206_AddTherapistReviews.cs", "C#", 0, 0, 0, 34, 0, 0, 3, 4, 41
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260511161455_AddReview.Designer.cs", "C#", 0, 0, 0, 345, 0, 0, 2, 123, 470
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260511161455_AddReview.cs", "C#", 0, 0, 0, 40, 0, 0, 3, 8, 51
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260512131239_AddFavorites.Designer.cs", "C#", 0, 0, 0, 345, 0, 0, 2, 123, 470
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260512131239_AddFavorites.cs", "C#", 0, 0, 0, 14, 0, 0, 3, 6, 23
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260512133226_AddDependencies.Designer.cs", "C#", 0, 0, 0, 377, 0, 0, 2, 137, 516
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260512133226_AddDependencies.cs", "C#", 0, 0, 0, 51, 0, 0, 3, 6, 60
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260513200758_AddNamesToTherapistProfile.Designer.cs", "C#", 0, 0, 0, 385, 0, 0, 2, 140, 527
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260513200758_AddNamesToTherapistProfile.cs", "C#", 0, 0, 0, 40, 0, 0, 3, 8, 51
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260520132247_AddDiaryAndChatFeatures.Designer.cs", "C#", 0, 0, 0, 474, 0, 0, 2, 175, 651
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260520132247_AddDiaryAndChatFeatures.cs", "C#", 0, 0, 0, 86, 0, 0, 3, 9, 98
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260520162038_AddAuthorToLecture.Designer.cs", "C#", 0, 0, 0, 477, 0, 0, 2, 176, 655
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260520162038_AddAuthorToLecture.cs", "C#", 0, 0, 0, 23, 0, 0, 3, 4, 30
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260522162200_AddVisibleToDiary.Designer.cs", "C#", 0, 0, 0, 479, 0, 0, 2, 177, 658
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260522162200_AddVisibleToDiary.cs", "C#", 0, 0, 0, 23, 0, 0, 3, 4, 30
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260522230025_AddCategoriesTable.Designer.cs", "C#", 0, 0, 0, 508, 0, 0, 2, 188, 698
"d:\Diplom\BlazorApp\BlazorApp\Migrations\20260522230025_AddCategoriesTable.cs", "C#", 0, 0, 0, 55, 0, 0, 3, 10, 68
"d:\Diplom\BlazorApp\BlazorApp\Migrations\ApplicationDbContextModelSnapshot.cs", "C#", 0, 0, 0, 506, 0, 0, 1, 188, 695
"d:\Diplom\BlazorApp\BlazorApp\Program.cs", "C#", 0, 0, 0, 84, 0, 0, 0, 20, 104
"d:\Diplom\BlazorApp\BlazorApp\Properties\launchSettings.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 1, 42
"d:\Diplom\BlazorApp\BlazorApp\Properties\serviceDependencies.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Diplom\BlazorApp\BlazorApp\Properties\serviceDependencies.local.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Diplom\BlazorApp\BlazorApp\Services\AccountService.cs", "C#", 0, 0, 0, 18, 0, 0, 0, 2, 20
"d:\Diplom\BlazorApp\BlazorApp\Services\CategoryService.cs", "C#", 0, 0, 0, 33, 0, 0, 0, 7, 40
"d:\Diplom\BlazorApp\BlazorApp\Services\ChatInMemoryService.cs", "C#", 0, 0, 0, 29, 0, 0, 0, 7, 36
"d:\Diplom\BlazorApp\BlazorApp\Services\ChildrenService.cs", "C#", 0, 0, 0, 38, 0, 0, 0, 5, 43
"d:\Diplom\BlazorApp\BlazorApp\Services\DiaryService.cs", "C#", 0, 0, 0, 176, 0, 0, 4, 36, 216
"d:\Diplom\BlazorApp\BlazorApp\Services\EmailSender.cs", "C#", 0, 0, 0, 58, 0, 0, 0, 14, 72
"d:\Diplom\BlazorApp\BlazorApp\Services\FavoriteService.cs", "C#", 0, 0, 0, 52, 0, 0, 0, 7, 59
"d:\Diplom\BlazorApp\BlazorApp\Services\LectureService.cs", "C#", 0, 0, 0, 60, 0, 0, 0, 9, 69
"d:\Diplom\BlazorApp\BlazorApp\Services\TherapistService.cs", "C#", 0, 0, 0, 126, 0, 0, 9, 15, 150
"d:\Diplom\BlazorApp\BlazorApp\Services\UserService.cs", "C#", 0, 0, 0, 65, 0, 0, 0, 12, 77
"d:\Diplom\BlazorApp\BlazorApp\appsettings.Development.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 9
"d:\Diplom\BlazorApp\BlazorApp\appsettings.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 1, 21
"d:\Diplom\BlazorApp\BlazorApp\wwwroot\app.css", "PostCSS", 0, 0, 0, 0, 109, 0, 0, 11, 120
"d:\Diplom\BlazorApp\BlazorApp\wwwroot\app.js", "JavaScript", 0, 0, 0, 0, 0, 33, 0, 4, 37
"d:\Diplom\BlazorApp\BlazorApp\wwwroot\bootstrap\bootstrap.min.css", "PostCSS", 0, 0, 0, 0, 6, 0, 1, 0, 7
"Total", "-", 86, 45, 5864, 8490, 872, 33, 265, 3783, 19438
